"source","target","source_description","target_description","contingency"
"PD","EI","Promise.","Elicit imitation of word or sentence by modelling or by explicit command",1
"PD","EM","Promise.","Exclaim in distress pain.",1
"PD","ET","Promise.","Express enthusiasm for hearer's performance.",1
"PD","FP","Promise.","Ask for permission to carry out act.",1
"PD","GI","Promise.","Give in/ accept other's insistence or refusal.",1
"PD","MK","Promise.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"PD","OO","Promise.","Unintelligible vocalization.",0
"PD","PD","Promise.","Promise.",1
"PD","PF","Promise.","Prohibit/forbid/protest hearer's performance of an act",1
"PD","PR","Promise.","Perform verbal move in game.",1
"PD","QN","Promise.","Ask a product-question (wh-question)",1
"PD","RD","Promise.","Refuse to carry out an act requested or proposed by other.",0
"PD","RP","Promise.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"PD","RQ","Promise.","Yes/no question or suggestion about hearer's wishes and intentions",1
"PD","RR","Promise.","Request to repeat utterance.",1
"PD","RT","Promise.","Repeat or imitate other's utterance.",1
"PD","SA","Promise.","Answer a wh-question with a statement.",0
"PD","SI","Promise.","State intent to carry out act by speaker.",1
"PD","SS","Promise.","Signal to start performing an act such as running or rolling a ball",1
"PD","ST","Promise.","Make a declarative statement.",1
"PD","TO","Promise.","Mark transfer of object to hearer",1
"PD","TQ","Promise.","Ask a limited-alternative yes/no question.",1
"PD","TX","Promise.","Read or recite written text aloud.",1
"PD","XA","Promise.","Exhibit attentiveness to hearer.",1
"PD","YQ","Promise.","Ask a yes/no question.",1
"PD","YY","Promise.","Make a word-like utterance without clear function.",0
"PF","AA","Prohibit/forbid/protest hearer's performance of an act","Answer in the affirmative to yes/no question.",0
"PF","AB","Prohibit/forbid/protest hearer's performance of an act","Approve of appropriate behavior.",0
"PF","AC","Prohibit/forbid/protest hearer's performance of an act","Answer calls/ show attentiveness to communications.",0
"PF","AD","Prohibit/forbid/protest hearer's performance of an act","Agree to carry out an act requested or proposed by other.",0
"PF","AP","Prohibit/forbid/protest hearer's performance of an act","Agree with proposition or proposal expressed by previous speaker",0
"PF","CL","Prohibit/forbid/protest hearer's performance of an act","Call attention to hearer by name or by substitute exclamations",1
"PF","CM","Prohibit/forbid/protest hearer's performance of an act","Commiserate express sympathy for hearer's distress.",0
"PF","CN","Prohibit/forbid/protest hearer's performance of an act","Count.",1
"PF","CS","Prohibit/forbid/protest hearer's performance of an act","Counter-suggestion/ an indirect refusal.",1
"PF","DC","Prohibit/forbid/protest hearer's performance of an act","Create a new state of affairs by declaration",1
"PF","DP","Prohibit/forbid/protest hearer's performance of an act","Declare make-believe reality.",1
"PF","DS","Prohibit/forbid/protest hearer's performance of an act","Disapprove scold protest disruptive behavior.",0
"PF","DW","Prohibit/forbid/protest hearer's performance of an act","Disagree with proposition expressed by previous speaker.",0
"PF","EA","Prohibit/forbid/protest hearer's performance of an act","Elicit onomatopoeic or animal sounds.",1
"PF","EC","Prohibit/forbid/protest hearer's performance of an act","Elicit completion of word or sentence.",1
"PF","ED","Prohibit/forbid/protest hearer's performance of an act","Exclaim in disapproval.",1
"PF","EI","Prohibit/forbid/protest hearer's performance of an act","Elicit imitation of word or sentence by modelling or by explicit command",1
"PF","EM","Prohibit/forbid/protest hearer's performance of an act","Exclaim in distress pain.",1
"PF","EN","Prohibit/forbid/protest hearer's performance of an act","Express positive emotion.",0
"PF","EQ","Prohibit/forbid/protest hearer's performance of an act","Eliciting question (e.g. hmm?).",1
"PF","ET","Prohibit/forbid/protest hearer's performance of an act","Express enthusiasm for hearer's performance.",0
"PF","FP","Prohibit/forbid/protest hearer's performance of an act","Ask for permission to carry out act.",1
"PF","GI","Prohibit/forbid/protest hearer's performance of an act","Give in/ accept other's insistence or refusal.",1
"PF","GR","Prohibit/forbid/protest hearer's performance of an act","Give reason/ justify a request for an action refusal or prohibition",0
"PF","MK","Prohibit/forbid/protest hearer's performance of an act","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"PF","OO","Prohibit/forbid/protest hearer's performance of an act","Unintelligible vocalization.",0
"PF","PA","Prohibit/forbid/protest hearer's performance of an act","Permit hearer to perform act.",0
"PF","PD","Prohibit/forbid/protest hearer's performance of an act","Promise.",1
"PF","PF","Prohibit/forbid/protest hearer's performance of an act","Prohibit/forbid/protest hearer's performance of an act",0
"PF","PR","Prohibit/forbid/protest hearer's performance of an act","Perform verbal move in game.",0
"PF","QN","Prohibit/forbid/protest hearer's performance of an act","Ask a product-question (wh-question)",1
"PF","RD","Prohibit/forbid/protest hearer's performance of an act","Refuse to carry out an act requested or proposed by other.",1
"PF","RP","Prohibit/forbid/protest hearer's performance of an act","Request propose or suggest an action for hearer or for hearer and speaker.",1
"PF","RQ","Prohibit/forbid/protest hearer's performance of an act","Yes/no question or suggestion about hearer's wishes and intentions",1
"PF","RR","Prohibit/forbid/protest hearer's performance of an act","Request to repeat utterance.",1
"PF","RT","Prohibit/forbid/protest hearer's performance of an act","Repeat or imitate other's utterance.",1
"PF","SA","Prohibit/forbid/protest hearer's performance of an act","Answer a wh-question with a statement.",0
"PF","SI","Prohibit/forbid/protest hearer's performance of an act","State intent to carry out act by speaker.",0
"PF","SS","Prohibit/forbid/protest hearer's performance of an act","Signal to start performing an act such as running or rolling a ball",0
"PF","ST","Prohibit/forbid/protest hearer's performance of an act","Make a declarative statement.",1
"PF","TO","Prohibit/forbid/protest hearer's performance of an act","Mark transfer of object to hearer",0
"PF","TQ","Prohibit/forbid/protest hearer's performance of an act","Ask a limited-alternative yes/no question.",1
"PF","TX","Prohibit/forbid/protest hearer's performance of an act","Read or recite written text aloud.",1
"PF","WD","Prohibit/forbid/protest hearer's performance of an act","Warn of danger.",1
"PF","XA","Prohibit/forbid/protest hearer's performance of an act","Exhibit attentiveness to hearer.",1
"PF","YQ","Prohibit/forbid/protest hearer's performance of an act","Ask a yes/no question.",1
"PF","YY","Prohibit/forbid/protest hearer's performance of an act","Make a word-like utterance without clear function.",0
"PM","AA","Praise for motor acts i.e for nonverbal behavior.","Answer in the affirmative to yes/no question.",0
"PM","AC","Praise for motor acts i.e for nonverbal behavior.","Answer calls/ show attentiveness to communications.",0
"PM","AD","Praise for motor acts i.e for nonverbal behavior.","Agree to carry out an act requested or proposed by other.",0
"PM","AP","Praise for motor acts i.e for nonverbal behavior.","Agree with proposition or proposal expressed by previous speaker",0
"PM","CL","Praise for motor acts i.e for nonverbal behavior.","Call attention to hearer by name or by substitute exclamations",1
"PM","CN","Praise for motor acts i.e for nonverbal behavior.","Count.",1
"PM","CR","Praise for motor acts i.e for nonverbal behavior.","Criticize or point out error in nonverbal act.",1
"PM","CS","Praise for motor acts i.e for nonverbal behavior.","Counter-suggestion/ an indirect refusal.",0
"PM","CT","Praise for motor acts i.e for nonverbal behavior.","Correct provide correct verbal form in place of erroneous one.",1
"PM","DC","Praise for motor acts i.e for nonverbal behavior.","Create a new state of affairs by declaration",1
"PM","DP","Praise for motor acts i.e for nonverbal behavior.","Declare make-believe reality.",1
"PM","DW","Praise for motor acts i.e for nonverbal behavior.","Disagree with proposition expressed by previous speaker.",0
"PM","ED","Praise for motor acts i.e for nonverbal behavior.","Exclaim in disapproval.",0
"PM","EI","Praise for motor acts i.e for nonverbal behavior.","Elicit imitation of word or sentence by modelling or by explicit command",1
"PM","EM","Praise for motor acts i.e for nonverbal behavior.","Exclaim in distress pain.",1
"PM","ET","Praise for motor acts i.e for nonverbal behavior.","Express enthusiasm for hearer's performance.",1
"PM","FP","Praise for motor acts i.e for nonverbal behavior.","Ask for permission to carry out act.",1
"PM","GR","Praise for motor acts i.e for nonverbal behavior.","Give reason/ justify a request for an action refusal or prohibition",0
"PM","MK","Praise for motor acts i.e for nonverbal behavior.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"PM","OO","Praise for motor acts i.e for nonverbal behavior.","Unintelligible vocalization.",0
"PM","PF","Praise for motor acts i.e for nonverbal behavior.","Prohibit/forbid/protest hearer's performance of an act",0
"PM","PM","Praise for motor acts i.e for nonverbal behavior.","Praise for motor acts i.e for nonverbal behavior.",1
"PM","PR","Praise for motor acts i.e for nonverbal behavior.","Perform verbal move in game.",1
"PM","QN","Praise for motor acts i.e for nonverbal behavior.","Ask a product-question (wh-question)",1
"PM","RD","Praise for motor acts i.e for nonverbal behavior.","Refuse to carry out an act requested or proposed by other.",0
"PM","RP","Praise for motor acts i.e for nonverbal behavior.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"PM","RQ","Praise for motor acts i.e for nonverbal behavior.","Yes/no question or suggestion about hearer's wishes and intentions",1
"PM","RR","Praise for motor acts i.e for nonverbal behavior.","Request to repeat utterance.",1
"PM","RT","Praise for motor acts i.e for nonverbal behavior.","Repeat or imitate other's utterance.",1
"PM","SI","Praise for motor acts i.e for nonverbal behavior.","State intent to carry out act by speaker.",1
"PM","SS","Praise for motor acts i.e for nonverbal behavior.","Signal to start performing an act such as running or rolling a ball",1
"PM","ST","Praise for motor acts i.e for nonverbal behavior.","Make a declarative statement.",1
"PM","TO","Praise for motor acts i.e for nonverbal behavior.","Mark transfer of object to hearer",1
"PM","TQ","Praise for motor acts i.e for nonverbal behavior.","Ask a limited-alternative yes/no question.",1
"PM","TX","Praise for motor acts i.e for nonverbal behavior.","Read or recite written text aloud.",1
"PM","YQ","Praise for motor acts i.e for nonverbal behavior.","Ask a yes/no question.",1
"PM","YY","Praise for motor acts i.e for nonverbal behavior.","Make a word-like utterance without clear function.",0
"PR","AA","Perform verbal move in game.","Answer in the affirmative to yes/no question.",0
"PR","AB","Perform verbal move in game.","Approve of appropriate behavior.",1
"PR","AC","Perform verbal move in game.","Answer calls/ show attentiveness to communications.",0
"PR","AD","Perform verbal move in game.","Agree to carry out an act requested or proposed by other.",0
"PR","AN","Perform verbal move in game.","Answer in the negative to yes/no question",0
"PR","AP","Perform verbal move in game.","Agree with proposition or proposal expressed by previous speaker",0
"PR","CL","Perform verbal move in game.","Call attention to hearer by name or by substitute exclamations",1
"PR","CM","Perform verbal move in game.","Commiserate express sympathy for hearer's distress.",0
"PR","CN","Perform verbal move in game.","Count.",1
"PR","CS","Perform verbal move in game.","Counter-suggestion/ an indirect refusal.",0
"PR","CT","Perform verbal move in game.","Correct provide correct verbal form in place of erroneous one.",1
"PR","DC","Perform verbal move in game.","Create a new state of affairs by declaration",1
"PR","DP","Perform verbal move in game.","Declare make-believe reality.",1
"PR","DS","Perform verbal move in game.","Disapprove scold protest disruptive behavior.",1
"PR","DW","Perform verbal move in game.","Disagree with proposition expressed by previous speaker.",0
"PR","EA","Perform verbal move in game.","Elicit onomatopoeic or animal sounds.",1
"PR","EC","Perform verbal move in game.","Elicit completion of word or sentence.",1
"PR","ED","Perform verbal move in game.","Exclaim in disapproval.",1
"PR","EI","Perform verbal move in game.","Elicit imitation of word or sentence by modelling or by explicit command",1
"PR","EM","Perform verbal move in game.","Exclaim in distress pain.",1
"PR","ET","Perform verbal move in game.","Express enthusiasm for hearer's performance.",1
"PR","FP","Perform verbal move in game.","Ask for permission to carry out act.",1
"PR","GR","Perform verbal move in game.","Give reason/ justify a request for an action refusal or prohibition",0
"PR","MK","Perform verbal move in game.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"PR","OO","Perform verbal move in game.","Unintelligible vocalization.",0
"PR","PA","Perform verbal move in game.","Permit hearer to perform act.",0
"PR","PD","Perform verbal move in game.","Promise.",1
"PR","PF","Perform verbal move in game.","Prohibit/forbid/protest hearer's performance of an act",1
"PR","PM","Perform verbal move in game.","Praise for motor acts i.e for nonverbal behavior.",1
"PR","PR","Perform verbal move in game.","Perform verbal move in game.",1
"PR","QN","Perform verbal move in game.","Ask a product-question (wh-question)",1
"PR","RD","Perform verbal move in game.","Refuse to carry out an act requested or proposed by other.",0
"PR","RP","Perform verbal move in game.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"PR","RQ","Perform verbal move in game.","Yes/no question or suggestion about hearer's wishes and intentions",1
"PR","RR","Perform verbal move in game.","Request to repeat utterance.",1
"PR","RT","Perform verbal move in game.","Repeat or imitate other's utterance.",1
"PR","SA","Perform verbal move in game.","Answer a wh-question with a statement.",0
"PR","SI","Perform verbal move in game.","State intent to carry out act by speaker.",1
"PR","SS","Perform verbal move in game.","Signal to start performing an act such as running or rolling a ball",1
"PR","ST","Perform verbal move in game.","Make a declarative statement.",1
"PR","TO","Perform verbal move in game.","Mark transfer of object to hearer",1
"PR","TQ","Perform verbal move in game.","Ask a limited-alternative yes/no question.",1
"PR","TX","Perform verbal move in game.","Read or recite written text aloud.",1
"PR","WD","Perform verbal move in game.","Warn of danger.",1
"PR","XA","Perform verbal move in game.","Exhibit attentiveness to hearer.",1
"PR","YQ","Perform verbal move in game.","Ask a yes/no question.",1
"PR","YY","Perform verbal move in game.","Make a word-like utterance without clear function.",0
"QA","OO","Answer a question with a wh-question.","Unintelligible vocalization.",0
"QA","SI","Answer a question with a wh-question.","State intent to carry out act by speaker.",0
"QA","ST","Answer a question with a wh-question.","Make a declarative statement.",0
"QA","YY","Answer a question with a wh-question.","Make a word-like utterance without clear function.",0
"QN","AA","Ask a product-question (wh-question)","Answer in the affirmative to yes/no question.",0
"QN","AB","Ask a product-question (wh-question)","Approve of appropriate behavior.",0
"QN","AC","Ask a product-question (wh-question)","Answer calls/ show attentiveness to communications.",0
"QN","AD","Ask a product-question (wh-question)","Agree to carry out an act requested or proposed by other.",0
"QN","AL","Ask a product-question (wh-question)","Agree to do something for the last time.",0
"QN","AN","Ask a product-question (wh-question)","Answer in the negative to yes/no question",0
"QN","AP","Ask a product-question (wh-question)","Agree with proposition or proposal expressed by previous speaker",0
"QN","CL","Ask a product-question (wh-question)","Call attention to hearer by name or by substitute exclamations",0
"QN","CM","Ask a product-question (wh-question)","Commiserate express sympathy for hearer's distress.",0
"QN","CN","Ask a product-question (wh-question)","Count.",0
"QN","CR","Ask a product-question (wh-question)","Criticize or point out error in nonverbal act.",0
"QN","CS","Ask a product-question (wh-question)","Counter-suggestion/ an indirect refusal.",0
"QN","CT","Ask a product-question (wh-question)","Correct provide correct verbal form in place of erroneous one.",1
"QN","DC","Ask a product-question (wh-question)","Create a new state of affairs by declaration",0
"QN","DP","Ask a product-question (wh-question)","Declare make-believe reality.",0
"QN","DS","Ask a product-question (wh-question)","Disapprove scold protest disruptive behavior.",0
"QN","DW","Ask a product-question (wh-question)","Disagree with proposition expressed by previous speaker.",0
"QN","EA","Ask a product-question (wh-question)","Elicit onomatopoeic or animal sounds.",0
"QN","EC","Ask a product-question (wh-question)","Elicit completion of word or sentence.",0
"QN","ED","Ask a product-question (wh-question)","Exclaim in disapproval.",1
"QN","EI","Ask a product-question (wh-question)","Elicit imitation of word or sentence by modelling or by explicit command",0
"QN","EM","Ask a product-question (wh-question)","Exclaim in distress pain.",1
"QN","EQ","Ask a product-question (wh-question)","Eliciting question (e.g. hmm?).",1
"QN","ET","Ask a product-question (wh-question)","Express enthusiasm for hearer's performance.",0
"QN","FP","Ask a product-question (wh-question)","Ask for permission to carry out act.",0
"QN","GI","Ask a product-question (wh-question)","Give in/ accept other's insistence or refusal.",0
"QN","GR","Ask a product-question (wh-question)","Give reason/ justify a request for an action refusal or prohibition",0
"QN","MK","Ask a product-question (wh-question)","Mark occurrence of event (thank greet apologize congratulate etc.).",0
"QN","NA","Ask a product-question (wh-question)","Intentionally nonsatisfying answer to question",0
"QN","ND","Ask a product-question (wh-question)","Disagree with a declaration.",0
"QN","OO","Ask a product-question (wh-question)","Unintelligible vocalization.",0
"QN","PA","Ask a product-question (wh-question)","Permit hearer to perform act.",0
"QN","PD","Ask a product-question (wh-question)","Promise.",0
"QN","PF","Ask a product-question (wh-question)","Prohibit/forbid/protest hearer's performance of an act",0
"QN","PM","Ask a product-question (wh-question)","Praise for motor acts i.e for nonverbal behavior.",1
"QN","PR","Ask a product-question (wh-question)","Perform verbal move in game.",0
"QN","QA","Ask a product-question (wh-question)","Answer a question with a wh-question.",1
"QN","QN","Ask a product-question (wh-question)","Ask a product-question (wh-question)",0
"QN","RD","Ask a product-question (wh-question)","Refuse to carry out an act requested or proposed by other.",0
"QN","RP","Ask a product-question (wh-question)","Request propose or suggest an action for hearer or for hearer and speaker.",0
"QN","RQ","Ask a product-question (wh-question)","Yes/no question or suggestion about hearer's wishes and intentions",0
"QN","RR","Ask a product-question (wh-question)","Request to repeat utterance.",1
"QN","RT","Ask a product-question (wh-question)","Repeat or imitate other's utterance.",0
"QN","SA","Ask a product-question (wh-question)","Answer a wh-question with a statement.",1
"QN","SC","Ask a product-question (wh-question)","Complete statement or other utterance in compliance with request.",0
"QN","SI","Ask a product-question (wh-question)","State intent to carry out act by speaker.",0
"QN","SS","Ask a product-question (wh-question)","Signal to start performing an act such as running or rolling a ball",0
"QN","ST","Ask a product-question (wh-question)","Make a declarative statement.",0
"QN","TO","Ask a product-question (wh-question)","Mark transfer of object to hearer",0
"QN","TQ","Ask a product-question (wh-question)","Ask a limited-alternative yes/no question.",0
"QN","TX","Ask a product-question (wh-question)","Read or recite written text aloud.",0
"QN","WD","Ask a product-question (wh-question)","Warn of danger.",0
"QN","WS","Ask a product-question (wh-question)","Express a wish.",0
"QN","XA","Ask a product-question (wh-question)","Exhibit attentiveness to hearer.",0
"QN","YA","Ask a product-question (wh-question)","Answer a question with a yes/no question.",1
"QN","YQ","Ask a product-question (wh-question)","Ask a yes/no question.",0
"QN","YY","Ask a product-question (wh-question)","Make a word-like utterance without clear function.",0
"RD","AA","Refuse to carry out an act requested or proposed by other.","Answer in the affirmative to yes/no question.",0
"RD","AB","Refuse to carry out an act requested or proposed by other.","Approve of appropriate behavior.",0
"RD","AC","Refuse to carry out an act requested or proposed by other.","Answer calls/ show attentiveness to communications.",0
"RD","AD","Refuse to carry out an act requested or proposed by other.","Agree to carry out an act requested or proposed by other.",0
"RD","AP","Refuse to carry out an act requested or proposed by other.","Agree with proposition or proposal expressed by previous speaker",0
"RD","CL","Refuse to carry out an act requested or proposed by other.","Call attention to hearer by name or by substitute exclamations",1
"RD","CM","Refuse to carry out an act requested or proposed by other.","Commiserate express sympathy for hearer's distress.",0
"RD","CN","Refuse to carry out an act requested or proposed by other.","Count.",1
"RD","CS","Refuse to carry out an act requested or proposed by other.","Counter-suggestion/ an indirect refusal.",1
"RD","CT","Refuse to carry out an act requested or proposed by other.","Correct provide correct verbal form in place of erroneous one.",1
"RD","DC","Refuse to carry out an act requested or proposed by other.","Create a new state of affairs by declaration",1
"RD","DP","Refuse to carry out an act requested or proposed by other.","Declare make-believe reality.",1
"RD","DS","Refuse to carry out an act requested or proposed by other.","Disapprove scold protest disruptive behavior.",1
"RD","DW","Refuse to carry out an act requested or proposed by other.","Disagree with proposition expressed by previous speaker.",0
"RD","EA","Refuse to carry out an act requested or proposed by other.","Elicit onomatopoeic or animal sounds.",1
"RD","EC","Refuse to carry out an act requested or proposed by other.","Elicit completion of word or sentence.",1
"RD","ED","Refuse to carry out an act requested or proposed by other.","Exclaim in disapproval.",1
"RD","EI","Refuse to carry out an act requested or proposed by other.","Elicit imitation of word or sentence by modelling or by explicit command",1
"RD","EM","Refuse to carry out an act requested or proposed by other.","Exclaim in distress pain.",1
"RD","EN","Refuse to carry out an act requested or proposed by other.","Express positive emotion.",1
"RD","ET","Refuse to carry out an act requested or proposed by other.","Express enthusiasm for hearer's performance.",0
"RD","FP","Refuse to carry out an act requested or proposed by other.","Ask for permission to carry out act.",0
"RD","GI","Refuse to carry out an act requested or proposed by other.","Give in/ accept other's insistence or refusal.",1
"RD","GR","Refuse to carry out an act requested or proposed by other.","Give reason/ justify a request for an action refusal or prohibition",0
"RD","MK","Refuse to carry out an act requested or proposed by other.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"RD","OO","Refuse to carry out an act requested or proposed by other.","Unintelligible vocalization.",0
"RD","PA","Refuse to carry out an act requested or proposed by other.","Permit hearer to perform act.",0
"RD","PD","Refuse to carry out an act requested or proposed by other.","Promise.",1
"RD","PF","Refuse to carry out an act requested or proposed by other.","Prohibit/forbid/protest hearer's performance of an act",0
"RD","PM","Refuse to carry out an act requested or proposed by other.","Praise for motor acts i.e for nonverbal behavior.",1
"RD","PR","Refuse to carry out an act requested or proposed by other.","Perform verbal move in game.",1
"RD","QN","Refuse to carry out an act requested or proposed by other.","Ask a product-question (wh-question)",1
"RD","RD","Refuse to carry out an act requested or proposed by other.","Refuse to carry out an act requested or proposed by other.",1
"RD","RP","Refuse to carry out an act requested or proposed by other.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"RD","RQ","Refuse to carry out an act requested or proposed by other.","Yes/no question or suggestion about hearer's wishes and intentions",1
"RD","RR","Refuse to carry out an act requested or proposed by other.","Request to repeat utterance.",1
"RD","RT","Refuse to carry out an act requested or proposed by other.","Repeat or imitate other's utterance.",1
"RD","SA","Refuse to carry out an act requested or proposed by other.","Answer a wh-question with a statement.",0
"RD","SI","Refuse to carry out an act requested or proposed by other.","State intent to carry out act by speaker.",1
"RD","SS","Refuse to carry out an act requested or proposed by other.","Signal to start performing an act such as running or rolling a ball",1
"RD","ST","Refuse to carry out an act requested or proposed by other.","Make a declarative statement.",1
"RD","TO","Refuse to carry out an act requested or proposed by other.","Mark transfer of object to hearer",1
"RD","TQ","Refuse to carry out an act requested or proposed by other.","Ask a limited-alternative yes/no question.",1
"RD","TX","Refuse to carry out an act requested or proposed by other.","Read or recite written text aloud.",1
"RD","WD","Refuse to carry out an act requested or proposed by other.","Warn of danger.",1
"RD","XA","Refuse to carry out an act requested or proposed by other.","Exhibit attentiveness to hearer.",1
"RD","YQ","Refuse to carry out an act requested or proposed by other.","Ask a yes/no question.",1
"RD","YY","Refuse to carry out an act requested or proposed by other.","Make a word-like utterance without clear function.",0
"RP","AA","Request propose or suggest an action for hearer or for hearer and speaker.","Answer in the affirmative to yes/no question.",0
"RP","AB","Request propose or suggest an action for hearer or for hearer and speaker.","Approve of appropriate behavior.",0
"RP","AC","Request propose or suggest an action for hearer or for hearer and speaker.","Answer calls/ show attentiveness to communications.",0
"RP","AD","Request propose or suggest an action for hearer or for hearer and speaker.","Agree to carry out an act requested or proposed by other.",1
"RP","AL","Request propose or suggest an action for hearer or for hearer and speaker.","Agree to do something for the last time.",1
"RP","AN","Request propose or suggest an action for hearer or for hearer and speaker.","Answer in the negative to yes/no question",0
"RP","AP","Request propose or suggest an action for hearer or for hearer and speaker.","Agree with proposition or proposal expressed by previous speaker",1
"RP","CL","Request propose or suggest an action for hearer or for hearer and speaker.","Call attention to hearer by name or by substitute exclamations",0
"RP","CM","Request propose or suggest an action for hearer or for hearer and speaker.","Commiserate express sympathy for hearer's distress.",0
"RP","CN","Request propose or suggest an action for hearer or for hearer and speaker.","Count.",0
"RP","CR","Request propose or suggest an action for hearer or for hearer and speaker.","Criticize or point out error in nonverbal act.",0
"RP","CS","Request propose or suggest an action for hearer or for hearer and speaker.","Counter-suggestion/ an indirect refusal.",1
"RP","CT","Request propose or suggest an action for hearer or for hearer and speaker.","Correct provide correct verbal form in place of erroneous one.",1
"RP","DC","Request propose or suggest an action for hearer or for hearer and speaker.","Create a new state of affairs by declaration",0
"RP","DP","Request propose or suggest an action for hearer or for hearer and speaker.","Declare make-believe reality.",0
"RP","DS","Request propose or suggest an action for hearer or for hearer and speaker.","Disapprove scold protest disruptive behavior.",0
"RP","DW","Request propose or suggest an action for hearer or for hearer and speaker.","Disagree with proposition expressed by previous speaker.",1
"RP","EA","Request propose or suggest an action for hearer or for hearer and speaker.","Elicit onomatopoeic or animal sounds.",0
"RP","EC","Request propose or suggest an action for hearer or for hearer and speaker.","Elicit completion of word or sentence.",0
"RP","ED","Request propose or suggest an action for hearer or for hearer and speaker.","Exclaim in disapproval.",1
"RP","EI","Request propose or suggest an action for hearer or for hearer and speaker.","Elicit imitation of word or sentence by modelling or by explicit command",0
"RP","EM","Request propose or suggest an action for hearer or for hearer and speaker.","Exclaim in distress pain.",1
"RP","ET","Request propose or suggest an action for hearer or for hearer and speaker.","Express enthusiasm for hearer's performance.",0
"RP","FP","Request propose or suggest an action for hearer or for hearer and speaker.","Ask for permission to carry out act.",0
"RP","GI","Request propose or suggest an action for hearer or for hearer and speaker.","Give in/ accept other's insistence or refusal.",0
"RP","GR","Request propose or suggest an action for hearer or for hearer and speaker.","Give reason/ justify a request for an action refusal or prohibition",0
"RP","MK","Request propose or suggest an action for hearer or for hearer and speaker.","Mark occurrence of event (thank greet apologize congratulate etc.).",0
"RP","NA","Request propose or suggest an action for hearer or for hearer and speaker.","Intentionally nonsatisfying answer to question",0
"RP","OO","Request propose or suggest an action for hearer or for hearer and speaker.","Unintelligible vocalization.",0
"RP","PA","Request propose or suggest an action for hearer or for hearer and speaker.","Permit hearer to perform act.",1
"RP","PD","Request propose or suggest an action for hearer or for hearer and speaker.","Promise.",0
"RP","PF","Request propose or suggest an action for hearer or for hearer and speaker.","Prohibit/forbid/protest hearer's performance of an act",0
"RP","PM","Request propose or suggest an action for hearer or for hearer and speaker.","Praise for motor acts i.e for nonverbal behavior.",0
"RP","PR","Request propose or suggest an action for hearer or for hearer and speaker.","Perform verbal move in game.",0
"RP","QN","Request propose or suggest an action for hearer or for hearer and speaker.","Ask a product-question (wh-question)",1
"RP","RD","Request propose or suggest an action for hearer or for hearer and speaker.","Refuse to carry out an act requested or proposed by other.",1
"RP","RP","Request propose or suggest an action for hearer or for hearer and speaker.","Request propose or suggest an action for hearer or for hearer and speaker.",0
"RP","RQ","Request propose or suggest an action for hearer or for hearer and speaker.","Yes/no question or suggestion about hearer's wishes and intentions",1
"RP","RR","Request propose or suggest an action for hearer or for hearer and speaker.","Request to repeat utterance.",1
"RP","RT","Request propose or suggest an action for hearer or for hearer and speaker.","Repeat or imitate other's utterance.",0
"RP","SA","Request propose or suggest an action for hearer or for hearer and speaker.","Answer a wh-question with a statement.",0
"RP","SI","Request propose or suggest an action for hearer or for hearer and speaker.","State intent to carry out act by speaker.",1
"RP","SS","Request propose or suggest an action for hearer or for hearer and speaker.","Signal to start performing an act such as running or rolling a ball",1
"RP","ST","Request propose or suggest an action for hearer or for hearer and speaker.","Make a declarative statement.",0
"RP","TO","Request propose or suggest an action for hearer or for hearer and speaker.","Mark transfer of object to hearer",0
"RP","TQ","Request propose or suggest an action for hearer or for hearer and speaker.","Ask a limited-alternative yes/no question.",1
"RP","TX","Request propose or suggest an action for hearer or for hearer and speaker.","Read or recite written text aloud.",0
"RP","WD","Request propose or suggest an action for hearer or for hearer and speaker.","Warn of danger.",1
"RP","WS","Request propose or suggest an action for hearer or for hearer and speaker.","Express a wish.",0
"RP","XA","Request propose or suggest an action for hearer or for hearer and speaker.","Exhibit attentiveness to hearer.",1
"RP","YQ","Request propose or suggest an action for hearer or for hearer and speaker.","Ask a yes/no question.",1
"RP","YY","Request propose or suggest an action for hearer or for hearer and speaker.","Make a word-like utterance without clear function.",0
"RQ","AA","Yes/no question or suggestion about hearer's wishes and intentions","Answer in the affirmative to yes/no question.",1
"RQ","AB","Yes/no question or suggestion about hearer's wishes and intentions","Approve of appropriate behavior.",0
"RQ","AC","Yes/no question or suggestion about hearer's wishes and intentions","Answer calls/ show attentiveness to communications.",0
"RQ","AD","Yes/no question or suggestion about hearer's wishes and intentions","Agree to carry out an act requested or proposed by other.",1
"RQ","AL","Yes/no question or suggestion about hearer's wishes and intentions","Agree to do something for the last time.",1
"RQ","AN","Yes/no question or suggestion about hearer's wishes and intentions","Answer in the negative to yes/no question",1
"RQ","AP","Yes/no question or suggestion about hearer's wishes and intentions","Agree with proposition or proposal expressed by previous speaker",1
"RQ","CL","Yes/no question or suggestion about hearer's wishes and intentions","Call attention to hearer by name or by substitute exclamations",0
